phase,comparison_family,comparison,ratio,version,embedding_key,embedding_label,metric,delta_mean,ci_lower,ci_upper,p_raw,p_holm,p_bh,n_pairs,bootstrap_unit,source_artifact
phase1,phase1_vs_random,BalancedRandom vs Random,10,,sbert_original,SBERT (original),item_r,0.0066347508153212,0.0025157039311827,0.0096234315930114,0.0008,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Coverage vs Random,10,,sbert_original,SBERT (original),item_r,0.0151909871659429,0.0082610095907495,0.0224328262351215,0.0,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Coverage+Div vs Random,10,,sbert_original,SBERT (original),item_r,0.0105065316720823,0.0042173988206827,0.0184195621794657,0.0,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,TraitPredictiveness vs Random,10,,sbert_original,SBERT (original),item_r,-0.0165589974377927,-0.0202729227107994,-0.0130399963490718,0.0,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Hybrid-A vs Random,10,,sbert_original,SBERT (original),item_r,-0.0035092442978311,-0.007787896630598,0.0028243926338016,0.2432,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Hybrid-B vs Random,10,,sbert_original,SBERT (original),item_r,0.0027608038931652,-0.0016111018599596,0.0077181079347337,0.239,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Hybrid-C vs Random,10,,sbert_original,SBERT (original),item_r,0.0063426044437878,0.0002934555333984,0.0106469306089814,0.0462,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,BalancedRandom vs Random,30,,sbert_original,SBERT (original),item_r,0.0151685381590365,0.0106094746390137,0.0196979417804835,0.0,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Coverage vs Random,30,,sbert_original,SBERT (original),item_r,0.0571296683723329,0.0525682874773395,0.0616808631782562,0.0,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Coverage+Div vs Random,30,,sbert_original,SBERT (original),item_r,0.0243814517814411,0.0203457834547931,0.0284171201080891,0.0,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,TraitPredictiveness vs Random,30,,sbert_original,SBERT (original),item_r,-0.0756743789540635,-0.0942086750939013,-0.0606730604278171,0.0,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Hybrid-A vs Random,30,,sbert_original,SBERT (original),item_r,0.0013069554066094,-0.0115849286894661,0.0122308544473582,0.8102,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Hybrid-B vs Random,30,,sbert_original,SBERT (original),item_r,0.0150496146453831,0.006237334016971,0.0218251740023202,0.0008,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Hybrid-C vs Random,30,,sbert_original,SBERT (original),item_r,0.0299269416532416,0.0208783802021033,0.0405539182633279,0.0,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,BalancedRandom vs Random,50,,sbert_original,SBERT (original),item_r,0.0084911357571535,0.0027814521973871,0.0139233229012044,0.007,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Coverage vs Random,50,,sbert_original,SBERT (original),item_r,0.0270058885717584,0.0239625654197415,0.0298673232761112,0.0,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Coverage+Div vs Random,50,,sbert_original,SBERT (original),item_r,0.0172546751038841,0.0135517304932162,0.0222036331453188,0.0,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,TraitPredictiveness vs Random,50,,sbert_original,SBERT (original),item_r,-0.1571229091145595,-0.1682814742927016,-0.1461706452266689,0.0,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Hybrid-A vs Random,50,,sbert_original,SBERT (original),item_r,0.0090246489863217,0.0059431831960529,0.0133068634687466,0.0,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Hybrid-B vs Random,50,,sbert_original,SBERT (original),item_r,0.0085360421289093,0.0002915455331154,0.0145279792167436,0.0322,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Hybrid-C vs Random,50,,sbert_original,SBERT (original),item_r,0.0177318193658594,0.0080594780574839,0.0278286904500987,0.0,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,BalancedRandom vs Random,90,,sbert_original,SBERT (original),item_r,0.0222224785766202,0.0145059385727138,0.0296764055057001,0.0,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Coverage vs Random,90,,sbert_original,SBERT (original),item_r,0.1627588727653691,0.1514784061792587,0.1762485633440381,0.0,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Coverage+Div vs Random,90,,sbert_original,SBERT (original),item_r,0.1443909256781964,0.1346722632994717,0.156757907887127,0.0,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,TraitPredictiveness vs Random,90,,sbert_original,SBERT (original),item_r,-0.1244056122995409,-0.1318378487880591,-0.1169733758110229,0.0,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Hybrid-A vs Random,90,,sbert_original,SBERT (original),item_r,0.0486214581177347,0.034270501665888,0.0627927868380424,0.0,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Hybrid-B vs Random,90,,sbert_original,SBERT (original),item_r,0.0135212580428979,-0.0171668329432622,0.0442093490290581,0.372,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Hybrid-C vs Random,90,,sbert_original,SBERT (original),item_r,0.0138632986907545,-0.0106981808846869,0.0413562246747847,0.2692,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
phase1,phase1_vs_random,Coverage vs BalancedRandom,10,,sbert_original,SBERT (original),item_r,0.0085562363506216,0.0010811143511539,0.0149102712006764,0.0188,,,5,folds_or_repeats_as_phase1_reported,results/phase1/figures/statistical_tests.csv
