version,embedding_key,embedding_label,ratio,fold,predictor,K,tau,is_fixed,is_tuned,hyperparam_source,train_n,train_inner_n,valid_inner_n,test_n,best_inner_item_r,search_space_K,search_space_tau,inner_val_scores_json,selected_S_hash,jaccard_vs_s_old
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,10,0,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},ec0db881349d9b77,0.25
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,10,1,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},ec0db881349d9b77,0.25
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,10,2,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},ec0db881349d9b77,0.25
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,10,3,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},ec0db881349d9b77,0.25
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,10,4,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2200,0,0,549,,,,{},ec0db881349d9b77,0.25
B1_fixed,e5_base_v2,E5-base-v2,10,0,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},ddb8a8dc4781b07a,0.17647058823529413
B1_fixed,e5_base_v2,E5-base-v2,10,1,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},ddb8a8dc4781b07a,0.17647058823529413
B1_fixed,e5_base_v2,E5-base-v2,10,2,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},ddb8a8dc4781b07a,0.17647058823529413
B1_fixed,e5_base_v2,E5-base-v2,10,3,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},ddb8a8dc4781b07a,0.17647058823529413
B1_fixed,e5_base_v2,E5-base-v2,10,4,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2200,0,0,549,,,,{},ddb8a8dc4781b07a,0.17647058823529413
B1_fixed,minilm_l6_v2,MiniLM-L6-v2,10,0,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},6a6a2a502b884a35,0.1111111111111111
B1_fixed,minilm_l6_v2,MiniLM-L6-v2,10,1,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},6a6a2a502b884a35,0.1111111111111111
B1_fixed,minilm_l6_v2,MiniLM-L6-v2,10,2,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},6a6a2a502b884a35,0.1111111111111111
B1_fixed,minilm_l6_v2,MiniLM-L6-v2,10,3,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},6a6a2a502b884a35,0.1111111111111111
B1_fixed,minilm_l6_v2,MiniLM-L6-v2,10,4,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2200,0,0,549,,,,{},6a6a2a502b884a35,0.1111111111111111
B1_fixed,mpnet_base_v2,MPNet-base-v2,10,0,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},fbaa37d42ee998f8,0.17647058823529413
B1_fixed,mpnet_base_v2,MPNet-base-v2,10,1,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},fbaa37d42ee998f8,0.17647058823529413
B1_fixed,mpnet_base_v2,MPNet-base-v2,10,2,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},fbaa37d42ee998f8,0.17647058823529413
B1_fixed,mpnet_base_v2,MPNet-base-v2,10,3,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},fbaa37d42ee998f8,0.17647058823529413
B1_fixed,mpnet_base_v2,MPNet-base-v2,10,4,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2200,0,0,549,,,,{},fbaa37d42ee998f8,0.17647058823529413
B1_fixed,sbert_original,SBERT (original),10,0,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},92745849571d4031,1.0
B1_fixed,sbert_original,SBERT (original),10,1,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},92745849571d4031,1.0
B1_fixed,sbert_original,SBERT (original),10,2,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},92745849571d4031,1.0
B1_fixed,sbert_original,SBERT (original),10,3,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},92745849571d4031,1.0
B1_fixed,sbert_original,SBERT (original),10,4,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2200,0,0,549,,,,{},92745849571d4031,1.0
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,30,0,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},d4ab89ba5be2ea63,0.30434782608695654
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,30,1,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},d4ab89ba5be2ea63,0.30434782608695654
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,30,2,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},d4ab89ba5be2ea63,0.30434782608695654
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,30,3,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},d4ab89ba5be2ea63,0.30434782608695654
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,30,4,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2200,0,0,549,,,,{},d4ab89ba5be2ea63,0.30434782608695654
B1_fixed,e5_base_v2,E5-base-v2,30,0,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},7ceffde4e4dcacff,0.22448979591836735
B1_fixed,e5_base_v2,E5-base-v2,30,1,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},7ceffde4e4dcacff,0.22448979591836735
B1_fixed,e5_base_v2,E5-base-v2,30,2,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},7ceffde4e4dcacff,0.22448979591836735
B1_fixed,e5_base_v2,E5-base-v2,30,3,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},7ceffde4e4dcacff,0.22448979591836735
B1_fixed,e5_base_v2,E5-base-v2,30,4,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2200,0,0,549,,,,{},7ceffde4e4dcacff,0.22448979591836735
B1_fixed,minilm_l6_v2,MiniLM-L6-v2,30,0,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},bad524b73607dd87,0.2
B1_fixed,minilm_l6_v2,MiniLM-L6-v2,30,1,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},bad524b73607dd87,0.2
B1_fixed,minilm_l6_v2,MiniLM-L6-v2,30,2,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},bad524b73607dd87,0.2
B1_fixed,minilm_l6_v2,MiniLM-L6-v2,30,3,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},bad524b73607dd87,0.2
B1_fixed,minilm_l6_v2,MiniLM-L6-v2,30,4,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2200,0,0,549,,,,{},bad524b73607dd87,0.2
B1_fixed,mpnet_base_v2,MPNet-base-v2,30,0,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},e516e4a7976f9b63,0.30434782608695654
B1_fixed,mpnet_base_v2,MPNet-base-v2,30,1,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},e516e4a7976f9b63,0.30434782608695654
B1_fixed,mpnet_base_v2,MPNet-base-v2,30,2,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},e516e4a7976f9b63,0.30434782608695654
B1_fixed,mpnet_base_v2,MPNet-base-v2,30,3,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},e516e4a7976f9b63,0.30434782608695654
B1_fixed,mpnet_base_v2,MPNet-base-v2,30,4,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2200,0,0,549,,,,{},e516e4a7976f9b63,0.30434782608695654
B1_fixed,sbert_original,SBERT (original),30,0,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},1ce15da48f8052fb,0.9354838709677419
B1_fixed,sbert_original,SBERT (original),30,1,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},1ce15da48f8052fb,0.9354838709677419
B1_fixed,sbert_original,SBERT (original),30,2,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},1ce15da48f8052fb,0.9354838709677419
B1_fixed,sbert_original,SBERT (original),30,3,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},1ce15da48f8052fb,0.9354838709677419
B1_fixed,sbert_original,SBERT (original),30,4,SoftmaxKNN,7,0.1,True,False,phase2_fixed_preregistered_softmax,2200,0,0,549,,,,{},1ce15da48f8052fb,0.9354838709677419
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,50,0,SoftmaxKNN,10,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},6eea9f717fd92763,0.5151515151515151
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,50,1,SoftmaxKNN,10,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},6eea9f717fd92763,0.5151515151515151
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,50,2,SoftmaxKNN,10,0.1,True,False,phase2_fixed_preregistered_softmax,2199,0,0,550,,,,{},6eea9f717fd92763,0.5151515151515151
